,chamber,state,name,platform,handle_1,handle_2,term,complete_term,start_date_term,end_date_term,vacancy_term,party,comment
0,S,Alabama,Tommy Tuberville,twitter,TTuberville,SenTuberville,117,1,1/3/2021,1/3/2023,0,R,NA
1,S,Alabama,Richard Shelby,twitter,SenShelby,NA,117,1,1/3/2021,1/3/2023,0,R,NA
2,S,Alaska,Dan Sullivan,twitter,SenDanSullivan,DanSullivan_AK,117,1,1/3/2021,1/3/2023,0,R,NA
3,S,Alaska,Lisa Murkowski,twitter,lisamurkowski,LisaForSenate,117,1,1/3/2021,1/3/2023,0,R,NA
4,S,Arizona,Kyrsten Sinema,twitter,kyrstensinema,SenatorSinema,117,1,1/3/2021,1/3/2023,0,D,NA
5,S,Arizona,Mark Kelly,twitter,CaptMarkKelly,SenMarkKelly,117,1,1/3/2021,1/3/2023,0,D,NA
6,S,Arkansas,Tom Cotton,twitter,SenTomCotton,TomCottonAR,117,1,1/3/2021,1/3/2023,0,R,NA
7,S,Arkansas,John Boozman,twitter,JohnBoozman,Boozman4AR,117,1,1/3/2021,1/3/2023,0,R,NA
8,S,California,Dianne Feinstein,twitter,SenFeinstein,DianneFeinstein,117,1,1/3/2021,1/3/2023,0,D,NA
9,S,California,Kamala Harris,twitter,KamalaHarris,NA,117,0,1/3/2021,1/18/2021,0,D,https://www.washingtonpost.com/politics/kamala-harris-resigns-senate/2021/01/16/03cd0e90-5869-11eb-a817-e5e7f8a406d6_story.html
10,S,California,Alex Padilla,twitter,AlexPadilla4CA,SenAlexPadilla,117,0,1/20/2021,1/3/2023,0,D,https://www.washingtonpost.com/politics/kamala-harris-resigns-senate/2021/01/16/03cd0e90-5869-11eb-a817-e5e7f8a406d6_story.html
11,S,Colorado,John Hickenlooper,twitter,Hickenlooper,SenatorHick,117,1,1/3/2021,1/3/2023,0,D,NA
12,S,Colorado,Michael Bennet,twitter,SenatorBennet,MichaelBennet,117,1,1/3/2021,1/3/2023,0,D,NA
13,S,Connecticut,Chris Murphy,twitter,ChrisMurphyCT,SenMurphyOffice,117,1,1/3/2021,1/3/2023,0,D,NA
14,S,Connecticut,Richard Blumenthal,twitter,SenBlumenthal,DickBlumenthal,117,1,1/3/2021,1/3/2023,0,D,NA
15,S,Delaware,Tom Carper,twitter,SenatorCarper,TomCarperforDE,117,1,1/3/2021,1/3/2023,0,D,NA
16,S,Delaware,Chris Coons,twitter,ChrisCoons,ChrisCoonsforDE,117,1,1/3/2021,1/3/2023,0,D,NA
17,S,Florida,Rick Scott,twitter,SenRickScott,ScottforFlorida,117,1,1/3/2021,1/3/2023,0,R,NA
18,S,Florida,Marco Rubio,twitter,marcorubio,SenRubioPress,117,1,1/3/2021,1/3/2023,0,R,NA
19,S,Georgia,Jon Ossoff,twitter,ossoff,SenOssoff,117,0,1/20/2021,1/3/2023,0,D,https://www.washingtonpost.com/politics/georgia-certifies-ossoff-warnock-victories-paving-way-for-democratic-control-of-senate/2021/01/19/8b9cf672-5a59-11eb-a976-bad6431e03e2_story.html
20,S,Georgia,Kelly Loeffler,twitter,KLoeffler,SenatorLoeffler,117,0,1/3/2021,1/20/2021,0,R,https://www.washingtonpost.com/politics/georgia-certifies-ossoff-warnock-victories-paving-way-for-democratic-control-of-senate/2021/01/19/8b9cf672-5a59-11eb-a976-bad6431e03e2_story.html
21,S,Georgia,Raphael Warnock,twitter,ReverendWarnock,SenatorWarnock,117,0,1/20/2021,1/3/2023,0,D,https://www.washingtonpost.com/politics/georgia-certifies-ossoff-warnock-victories-paving-way-for-democratic-control-of-senate/2021/01/19/8b9cf672-5a59-11eb-a976-bad6431e03e2_story.html
22,S,Hawaii,Mazie Hirono,twitter,maziehirono,mazieforhawaii,117,1,1/3/2021,1/3/2023,0,D,NA
23,S,Hawaii,Brian Schatz,twitter,brianschatz,SenBrianSchatz,117,1,1/3/2021,1/3/2023,0,D,NA
